Tanggal,Kecepatan Angin Maksimum
1980-12-31,12.0
1981-12-31,12.0
1982-12-31,9.661643835616438
1983-12-31,7.256164383561644
1984-12-31,8.133879781420765
1985-12-31,7.9
1986-12-31,7.658904109589041
1987-12-31,8.315068493150685
1988-12-31,7.566939890710382
1989-12-31,7.379452054794521
1990-12-31,7.717808219178083
1991-12-31,7.978082191780822
1992-12-31,7.887978142076503
1993-12-31,8.20958904109589
1994-12-31,7.861643835616438
1995-12-31,7.261643835616439
1996-12-31,7.412103243808859
1997-12-31,8.085397843194404
1998-12-31,7.278082191780822
1999-12-31,7.038356164383561
2000-12-31,8.563720215970891
2001-12-31,9.289379474940334
2002-12-31,8.636038186157517
2003-12-31,7.982696897374702
2004-12-31,7.32846062052506
2005-12-31,4.536986301369863
2006-12-31,4.8780821917808215
2007-12-31,5.483561643835617
2008-12-31,6.2390710382513666
2009-12-31,5.47945205479452
2010-12-31,4.810958904109589
2011-12-31,5.524657534246575
2012-12-31,5.371595414121933
2013-12-31,3.9205372011818427
2014-12-31,5.761643835616439
2015-12-31,5.016438356164383
2016-12-31,4.6775956284153
2017-12-31,5.260273972602739
2018-12-31,5.495890410958904
2019-12-31,5.32054794520548
2020-12-31,5.3469945355191255
2021-12-31,5.512328767123288
2022-12-31,5.538356164383561
2023-12-31,5.935616438356164
