Tanggal,Kecepatan Angin Rata-rata
1980-12-31,3.8674863387978142
1981-12-31,3.8643835616438356
1982-12-31,3.9013698630136986
1983-12-31,3.8867579908675802
1984-12-31,3.2645719489981784
1985-12-31,3.110958904109589
1986-12-31,2.9753424657534246
1987-12-31,2.2684931506849315
1988-12-31,2.2814207650273226
1989-12-31,2.1616438356164385
1990-12-31,2.8
1991-12-31,2.989041095890411
1992-12-31,3.0150273224043715
1993-12-31,3.1246575342465754
1994-12-31,3.361643835616438
1995-12-31,3.1205479452054794
1996-12-31,3.1871584699453552
1997-12-31,3.286301369863014
1998-12-31,3.0602739726027397
1999-12-31,3.1780821917808217
2000-12-31,3.2336065573770494
2001-12-31,3.1
2002-12-31,3.1931506849315068
2003-12-31,3.236986301369863
2004-12-31,2.987704918032787
2005-12-31,2.9
2006-12-31,3.0273972602739727
2007-12-31,2.852054794520548
2008-12-31,2.8551912568306013
2009-12-31,2.6575342465753424
2010-12-31,2.5136986301369864
2011-12-31,2.610958904109589
2012-12-31,2.6079234972677594
2013-12-31,2.76027397260274
2014-12-31,2.83972602739726
2015-12-31,2.258904109589041
2016-12-31,2.0491803278688523
2017-12-31,2.4356164383561643
2018-12-31,2.5342465753424657
2019-12-31,2.643835616438356
2020-12-31,2.6775956284153004
2021-12-31,2.5657534246575344
2022-12-31,2.51027397260274
2023-12-31,2.6089041095890413
