Tanggal,Kelembapan Rata-rata
1980-12-31,74.18852459016394
1981-12-31,76.72054794520548
1982-12-31,72.62054794520547
1983-12-31,78.2013698630137
1984-12-31,78.63661202185793
1985-12-31,75.96986301369863
1986-12-31,77.50821917808219
1987-12-31,77.0
1988-12-31,76.97131147540983
1989-12-31,78.75890410958904
1990-12-31,78.0
1991-12-31,77.11780821917809
1992-12-31,78.43989071038251
1993-12-31,77.6027397260274
1994-12-31,78.63013698630137
1995-12-31,82.32876712328768
1996-12-31,82.90163934426229
1997-12-31,80.7095890410959
1998-12-31,80.57260273972602
1999-12-31,79.2904109589041
2000-12-31,79.07377049180327
2001-12-31,77.87397260273973
2002-12-31,75.74520547945205
2003-12-31,75.7904109589041
2004-12-31,76.42896174863388
2005-12-31,77.40273972602739
2006-12-31,76.71369863013699
2007-12-31,76.66027397260274
2008-12-31,76.15573770491804
2009-12-31,75.82739726027397
2010-12-31,81.14246575342466
2011-12-31,79.84109589041095
2012-12-31,77.97131147540983
2013-12-31,78.86849315068493
2014-12-31,76.66301369863014
2015-12-31,77.27534246575343
2016-12-31,80.7896174863388
2017-12-31,79.2013698630137
2018-12-31,77.04383561643836
2019-12-31,75.75068493150685
2020-12-31,77.22950819672131
2021-12-31,80.21369863013699
2022-12-31,79.8
2023-12-31,77.33972602739726
