Tanggal,Lamanya Penyinaran Matahari
1980-12-31,6.163661202185793
1981-12-31,5.556027397260274
1982-12-31,6.302054794520548
1983-12-31,5.970000000000001
1984-12-31,4.990846994535519
1985-12-31,5.491232876712329
1986-12-31,5.314383561643836
1987-12-31,5.706438356164384
1988-12-31,5.54931693989071
1989-12-31,5.718767123287671
1990-12-31,5.839315068493151
1991-12-31,5.79013698630137
1992-12-31,5.395901639344262
1993-12-31,6.143698630136986
1994-12-31,5.8568493150684935
1995-12-31,5.2534246575342465
1996-12-31,5.681147540983607
1997-12-31,5.973698630136987
1998-12-31,5.431232876712329
1999-12-31,5.614383561643836
2000-12-31,5.201229508196722
2001-12-31,5.544383561643836
2002-12-31,6.061917808219178
2003-12-31,5.863287671232876
2004-12-31,5.9603825136612025
2005-12-31,5.840958904109589
2006-12-31,5.6476712328767125
2007-12-31,5.707260273972603
2008-12-31,5.1546448087431695
2009-12-31,6.041506849315069
2010-12-31,5.61041095890411
2011-12-31,5.664657534246575
2012-12-31,6.060655737704917
2013-12-31,7.01868493150685
2014-12-31,7.275972602739726
2015-12-31,7.87
2016-12-31,6.77103825136612
2017-12-31,6.402237442922374
2018-12-31,7.333515981735159
2019-12-31,7.872054794520548
2020-12-31,7.310519125683061
2021-12-31,6.733561643835617
2022-12-31,6.295799086757991
2023-12-31,7.433241758241758
